SNOMED_ConceptId,ConceptId_Description,LTC_Category,Resolved
53741008,Coronary arteriosclerosis (disorder),Chronic heart disease,0
54329005,Acute myocardial infarction of anterior wall (disorder),Chronic heart disease,0
56675007,Acute heart failure (disorder),Chronic heart disease,0
57054005,Acute myocardial infarction (disorder),Chronic heart disease,0
58612006,Acute myocardial infarction of lateral wall (disorder),Chronic heart disease,0
59021001,Angina decubitus (disorder),Chronic heart disease,0
62695002,Acute anteroseptal myocardial infarction (disorder),Chronic heart disease,0
63739005,Coronary occlusion (disorder),Chronic heart disease,0
65547006,Acute myocardial infarction of inferolateral wall (disorder),Chronic heart disease,0
66189004,Postmyocardial infarction syndrome (disorder),Chronic heart disease,0
67682002,Coronary artery atheroma (disorder),Chronic heart disease,0
70211005,Acute myocardial infarction of anterolateral wall (disorder),Chronic heart disease,0
70422006,Acute subendocardial infarction (disorder),Chronic heart disease,0
73795002,Acute myocardial infarction of inferior wall (disorder),Chronic heart disease,0
76593002,Acute myocardial infarction of inferoposterior wall (disorder),Chronic heart disease,0
79009004,Acute myocardial infarction of septum (disorder),Chronic heart disease,0
79955004,Chronic cor pulmonale (disorder),Chronic heart disease,0
84114007,Heart failure (disorder),Chronic heart disease,0
85232009,Left heart failure (disorder),Chronic heart disease,0
87837008,Chronic pulmonary heart disease (disorder),Chronic heart disease,0
88805009,Chronic congestive heart failure (disorder),Chronic heart disease,0
92506005,Biventricular congestive heart failure (disorder),Chronic heart disease,0
123642008,Right coronary artery occlusion (disorder),Chronic heart disease,0
128404006,Right heart failure (disorder),Chronic heart disease,0
129574000,Postoperative myocardial infarction (disorder),Chronic heart disease,0
134377004,Atrial fibrillation monitoring (regime/therapy),Chronic heart disease,0
134401001,Left ventricular systolic dysfunction (disorder),Chronic heart disease,0
161502000,History of myocardial infarct at age less than sixty (situation),Chronic heart disease,0
161503005,History of myocardial infarct at age greater than sixty (situation),Chronic heart disease,0
164889003,Electrocardiographic atrial fibrillation (finding),Chronic heart disease,0
164890007,Electrocardiographic atrial flutter (finding),Chronic heart disease,0
194802003,True posterior myocardial infarction (disorder),Chronic heart disease,0
194809007,Acute atrial infarction (disorder),Chronic heart disease,0
194821006,Coronary thrombosis not resulting in myocardial infarction (disorder),Chronic heart disease,0
194823009,Acute coronary insufficiency (disorder),Chronic heart disease,0
194828000,Angina (disorder),Chronic heart disease,0
194842008,Single coronary vessel disease (disorder),Chronic heart disease,0
194843003,Double coronary vessel disease (disorder),Chronic heart disease,0
194849004,Generalized ischemic myocardial dysfunction (disorder),Chronic heart disease,0
194856005,Subsequent myocardial infarction (disorder),Chronic heart disease,0
194857001,Subsequent myocardial infarction of anterior wall (disorder),Chronic heart disease,0
194858006,Subsequent myocardial infarction of inferior wall (disorder),Chronic heart disease,0
194863005,Atrial septal defect due to and following acute myocardial infarction (disorder),Chronic heart disease,0
194867006,Rupture of papillary muscle as current complication following acute myocardial infarction (disorder),Chronic heart disease,0
194868001,"Thrombosis of atrium, auricular appendage, and ventricle due to and following acute myocardial infarction (disorder)",Chronic heart disease,0
195080001,Atrial fibrillation and flutter (disorder),Chronic heart disease,0
195111005,Decompensated cardiac failure (disorder),Chronic heart disease,0
195112003,Compensated cardiac failure (disorder),Chronic heart disease,0
195114002,Acute left ventricular failure (disorder),Chronic heart disease,0
199007008,"Pre-existing hypertensive heart and renal disease complicating pregnancy, childbirth and the puerperium (disorder)",Chronic heart disease,0
225566008,Ischemic chest pain (finding),Chronic heart disease,0
233817007,Triple vessel disease of the heart (disorder),Chronic heart disease,0
233819005,Stable angina (disorder),Chronic heart disease,0
233821000,New onset angina (disorder),Chronic heart disease,0
233823002,Silent myocardial ischemia (disorder),Chronic heart disease,0
233825009,Acute Q wave infarction - anteroseptal (disorder),Chronic heart disease,0
233826005,Acute non-Q wave infarction - anteroseptal (disorder),Chronic heart disease,0
233827001,Acute Q wave infarction - anterolateral (disorder),Chronic heart disease,0
233828006,Acute non-Q wave infarction - anterolateral (disorder),Chronic heart disease,0
233829003,Acute Q wave infarction - inferior (disorder),Chronic heart disease,0
233830008,Acute non-Q wave infarction - inferior (disorder),Chronic heart disease,0
233832000,Acute non-Q wave infarction - inferolateral (disorder),Chronic heart disease,0
233838001,Acute posterior myocardial infarction (disorder),Chronic heart disease,0
233839009,Old anterior myocardial infarction (disorder),Chronic heart disease,0
233840006,Old inferior myocardial infarction (disorder),Chronic heart disease,0
233841005,Old lateral myocardial infarction (disorder),Chronic heart disease,0
233842003,Old posterior myocardial infarction (disorder),Chronic heart disease,0
233843008,Silent myocardial infarction (disorder),Chronic heart disease,0
233846000,Post-infarction ventricular septal defect (disorder),Chronic heart disease,0
233847009,Cardiac rupture due to and following acute myocardial infarction (disorder),Chronic heart disease,0
233885007,Post-infarction pericarditis (disorder),Chronic heart disease,0
233910005,Lone atrial fibrillation (disorder),Chronic heart disease,0
233911009,Non-rheumatic atrial fibrillation (disorder),Chronic heart disease,0
233924009,Heart failure as a complication of care (disorder),Chronic heart disease,0
233970002,Coronary artery stenosis (disorder),Chronic heart disease,0
251024009,Coronary graft stenosis (disorder),Chronic heart disease,0
276517000,Transient myocardial ischemia of newborn (disorder),Chronic heart disease,0
281091000,Ischemic myocardial dysfunction (disorder),Chronic heart disease,0
281093002,Hibernating myocardium (disorder),Chronic heart disease,0
282825002,Paroxysmal atrial fibrillation (disorder),Chronic heart disease,0
300995000,Exercise-induced angina (disorder),Chronic heart disease,0
300996004,Controlled atrial fibrillation (disorder),Chronic heart disease,0
304914007,Acute Q wave myocardial infarction (disorder),Chronic heart disease,0
307140009,Acute non-Q wave infarction (disorder),Chronic heart disease,0
308065005,History of myocardial infarction in last year (situation),Chronic heart disease,0
311792005,Postoperative transmural myocardial infarction of anterior wall (disorder),Chronic heart disease,0
311793000,Postoperative transmural myocardial infarction of inferior wall (disorder),Chronic heart disease,0
311796008,Postoperative subendocardial myocardial infarction (disorder),Chronic heart disease,0
312442005,History of atrial fibrillation (situation),Chronic heart disease,0
314116003,Post infarct angina (disorder),Chronic heart disease,0
314206003,Refractory heart failure (disorder),Chronic heart disease,0
314207007,Non-Q wave myocardial infarction (disorder),Chronic heart disease,0
314208002,Rapid atrial fibrillation (disorder),Chronic heart disease,0
315025001,Refractory angina (disorder),Chronic heart disease,0
315026000,Transient myocardial ischemia (disorder),Chronic heart disease,0
315287002,Diabetes mellitus insulin-glucose infusion in acute myocardial infarction (procedure),Chronic heart disease,0
315348000,Asymptomatic coronary heart disease (disorder),Chronic heart disease,0
367363000,Right ventricular failure (disorder),Chronic heart disease,0
371068009,Myocardial infarction with complication (disorder),Chronic heart disease,0
371807002,Atypical angina (disorder),Chronic heart disease,0
394659003,Acute coronary syndrome (disorder),Chronic heart disease,0
394710008,First myocardial infarction (disorder),Chronic heart disease,0
398274000,Coronary artery thrombosis (disorder),Chronic heart disease,0
399211009,History of myocardial infarction (situation),Chronic heart disease,0
399261000,History of coronary artery bypass grafting (situation),Chronic heart disease,0
401250009,Coronary heart disease monitoring first letter (finding),Chronic heart disease,0
401251008,Coronary heart disease monitoring second letter (finding),Chronic heart disease,0
401252001,Coronary heart disease monitoring third letter (finding),Chronic heart disease,0
401253006,Coronary heart disease monitoring verbal invitation (finding),Chronic heart disease,0
401303003,Acute ST segment elevation myocardial infarction (disorder),Chronic heart disease,0
401314000,Acute non-ST segment elevation myocardial infarction (disorder),Chronic heart disease,0
407596008,Echocardiogram shows left ventricular systolic dysfunction (finding),Chronic heart disease,0
408546009,Coronary artery bypass graft occlusion (disorder),Chronic heart disease,0
412787009,"Intellectual disability, congenital heart disease, blepharophimosis, blepharoptosis and hypoplastic teeth (disorder)",Chronic heart disease,0
413439005,Acute ischemic heart disease (disorder),Chronic heart disease,0
413838009,Chronic ischemic heart disease (disorder),Chronic heart disease,0
413844008,Chronic myocardial ischemia (disorder),Chronic heart disease,0
414024009,Disorder of coronary artery (disorder),Chronic heart disease,0
414545008,Ischemic heart disease (disorder),Chronic heart disease,0
414795007,Myocardial ischemia (disorder),Chronic heart disease,0
420300004,New York Heart Association Classification - Class I (finding),Chronic heart disease,0
420913000,New York Heart Association Classification - Class III (finding),Chronic heart disease,0
421704003,New York Heart Association Classification - Class II (finding),Chronic heart disease,0
422293003,New York Heart Association Classification - Class IV (finding),Chronic heart disease,0
426611007,Congestive heart failure due to valvular disease (disorder),Chronic heart disease,0
426749004,Chronic atrial fibrillation (disorder),Chronic heart disease,0
427665004,Paroxysmal atrial flutter (disorder),Chronic heart disease,0
428076002,History of atrial flutter (situation),Chronic heart disease,0
428196007,Mixed myocardial ischemia and infarction (disorder),Chronic heart disease,0
430396006,Chronic systolic dysfunction of left ventricle (disorder),Chronic heart disease,0
440028005,Permanent atrial fibrillation (disorder),Chronic heart disease,0
440059007,Persistent atrial fibrillation (disorder),Chronic heart disease,0
443502000,Atherosclerosis of coronary artery (disorder),Chronic heart disease,0
446221000,Heart failure with normal ejection fraction (disorder),Chronic heart disease,0
698377004,Coronary angioplasty planned (situation),Chronic heart disease,0
698378009,Coronary artery bypass graft operation planned (situation),Chronic heart disease,0
703164000,Acute ST segment elevation myocardial infarction of anterior wall (disorder),Chronic heart disease,0
703213009,Acute ST segment elevation myocardial infarction of inferior wall (disorder),Chronic heart disease,0
703272007,Heart failure with reduced ejection fraction (disorder),Chronic heart disease,0
703360004,Subsequent non-ST segment elevation myocardial infarction (disorder),Chronic heart disease,0
719678003,Non-obstructive atherosclerosis of coronary artery (disorder),Chronic heart disease,0
720448006,Typical atrial flutter (disorder),Chronic heart disease,0
735259005,"Congestive heart failure, hypertension, age 2, diabetes mellitus, stroke 2, vascular disease, age, sex category stroke risk score (observable entity)",Chronic heart disease,0
763008007,"Congestive heart failure, hypertension, age 75 years or older, diabetes mellitus and previous stroke or transient ischemic attack score (observable entity)",Chronic heart disease,0
788950000,Heart failure with mid range ejection fraction (disorder),Chronic heart disease,0
7.91E+11,Angina due to type 2 diabetes mellitus (disorder),Chronic heart disease,0
1.17051E+14,Chronic total occlusion of coronary artery (disorder),Chronic heart disease,0
1.20041E+14,Atrial fibrillation with rapid ventricular response (disorder),Chronic heart disease,0
1.43411E+14,Quality and Outcomes Framework heart failure quality indicator-related care invitation using preferred method of communication (procedure),Chronic heart disease,0
1.96371E+14,Atrial fibrillation resolved (finding),Chronic heart disease,1
2.48411E+14,Atrial fibrillation annual review (regime/therapy),Chronic heart disease,0
2.48461E+14,Coronary heart disease monitoring telephone invitation (regime/therapy),Chronic heart disease,0
7.11411E+14,Atrial fibrillation monitoring invitation (procedure),Chronic heart disease,0
7.11461E+14,Heart failure monitoring invitation (procedure),Chronic heart disease,0
7.15941E+14,Excepted from atrial fibrillation quality indicators - patient unsuitable (finding),Chronic heart disease,0
7.16091E+14,Excepted from coronary heart disease quality indicators - informed dissent (finding),Chronic heart disease,0
7.16181E+14,Atrial fibrillation monitoring third letter (procedure),Chronic heart disease,0
7.16621E+14,Heart failure monitoring third letter (procedure),Chronic heart disease,0
7.16721E+14,Atrial fibrillation monitoring telephone invitation (procedure),Chronic heart disease,0
7.16971E+14,Heart failure monitoring first letter (procedure),Chronic heart disease,0
7.16981E+14,Atrial fibrillation monitoring second letter (procedure),Chronic heart disease,0
7.17011E+14,Atrial fibrillation monitoring verbal invitation (procedure),Chronic heart disease,0
7.17111E+14,Excepted from coronary heart disease quality indicators - patient unsuitable (finding),Chronic heart disease,0
7.17191E+14,Heart failure monitoring second letter (procedure),Chronic heart disease,0
7.17221E+14,Atrial fibrillation monitoring first letter (procedure),Chronic heart disease,0
7.17381E+14,Excepted from atrial fibrillation quality indicators - informed dissent (finding),Chronic heart disease,0
7.17481E+14,Excepted from heart failure quality indicators - patient unsuitable (finding),Chronic heart disease,0
7.17491E+14,Excepted from heart failure quality indicators - informed dissent (finding),Chronic heart disease,0
7.17501E+14,Heart failure monitoring verbal invitation (procedure),Chronic heart disease,0
7.17531E+14,Heart failure monitoring telephone invitation (procedure),Chronic heart disease,0
7.93851E+14,"Congestive heart failure, hypertension, age 2, diabetes mellitus, stroke 2 - vascular disease, age, sex category stroke risk score (observable entity)",Chronic heart disease,0
8.10681E+14,Coronary microvascular disease (disorder),Chronic heart disease,0
1.08312E+15,Coronary heart disease monitoring invitation (procedure),Chronic heart disease,0
1.08313E+15,Coronary heart disease monitoring invitation email (procedure),Chronic heart disease,0
1.08511E+15,"Congestive heart failure, hypertension, age 75 years or older, diabetes mellitus and previous stroke or transient ischaemic attack score (observable entity)",Chronic heart disease,0
1.08945E+15,Acute nontransmural myocardial infarction (disorder),Chronic heart disease,0
1.11085E+15,Quality and Outcomes Framework atrial fibrillation quality indicator-related care invitation (procedure),Chronic heart disease,0
1.11088E+15,Quality and Outcomes Framework secondary prevention of coronary heart disease quality indicator-related care invitation (procedure),Chronic heart disease,0
1.11093E+15,Quality and Outcomes Framework heart failure quality indicator-related care invitation (procedure),Chronic heart disease,0
1.59649E+16,Atypical atrial flutter (disorder),Chronic heart disease,0
44785005,Minimal change disease (disorder),Chronic kidney disease,0
46177005,End-stage renal disease (disorder),Chronic kidney disease,0
48796009,Congenital nephrotic syndrome (disorder),Chronic kidney disease,0
52254009,Nephrotic syndrome (disorder),Chronic kidney disease,0
71192002,Peritoneal dialysis (procedure),Chronic kidney disease,0
90688005,Chronic renal failure syndrome (disorder),Chronic kidney disease,0
105502003,Dependence on renal dialysis (finding),Chronic kidney disease,0
175902000,Cadaveric renal transplant (procedure),Chronic kidney disease,0
180272001,Insertion of chronic ambulatory peritoneal dialysis catheter (procedure),Chronic kidney disease,0
197589005,Nephrotic syndrome with proliferative glomerulonephritis (disorder),Chronic kidney disease,0
197590001,Nephrotic syndrome with membranous glomerulonephritis (disorder),Chronic kidney disease,0
197591002,Nephrotic syndrome with membranoproliferative glomerulonephritis (disorder),Chronic kidney disease,0
197593004,"Nephrotic syndrome, minor glomerular abnormality (disorder)",Chronic kidney disease,0
197594005,"Nephrotic syndrome, focal and segmental glomerular lesions (disorder)",Chronic kidney disease,0
197595006,"Nephrotic syndrome, diffuse membranous glomerulonephritis (disorder)",Chronic kidney disease,0
197596007,"Nephrotic syndrome, diffuse mesangial proliferative glomerulonephritis (disorder)",Chronic kidney disease,0
197597003,"Nephrotic syndrome, diffuse endocapillary proliferative glomerulonephritis (disorder)",Chronic kidney disease,0
197598008,"Nephrotic syndrome, diffuse mesangiocapillary glomerulonephritis (disorder)",Chronic kidney disease,0
197599000,"Nephrotic syndrome, dense deposit disease (disorder)",Chronic kidney disease,0
197600002,"Nephrotic syndrome, diffuse crescentic glomerulonephritis (disorder)",Chronic kidney disease,0
197601003,Finnish congenital nephrotic syndrome (disorder),Chronic kidney disease,0
197603000,Nephrotic syndrome associated with another disorder (disorder),Chronic kidney disease,0
197604006,Nephrotic syndrome in amyloidosis (disorder),Chronic kidney disease,0
197605007,Nephrotic syndrome due to diabetes mellitus (disorder),Chronic kidney disease,0
197606008,Nephrotic syndrome in malaria (disorder),Chronic kidney disease,0
225230008,Chronic peritoneal dialysis (procedure),Chronic kidney disease,0
233575001,Intermittent hemodialysis (procedure),Chronic kidney disease,0
233578004,Continuous hemodialysis (procedure),Chronic kidney disease,0
233580005,Continuous venovenous hemodialysis (procedure),Chronic kidney disease,0
233581009,Hemofiltration (procedure),Chronic kidney disease,0
233583007,Continuous hemofiltration (procedure),Chronic kidney disease,0
233585000,Continuous venovenous hemofiltration (procedure),Chronic kidney disease,0
233586004,Hemodiafiltration (procedure),Chronic kidney disease,0
233587008,Intermittent hemodiafiltration (procedure),Chronic kidney disease,0
233590002,Continuous venovenous hemodiafiltration (procedure),Chronic kidney disease,0
236380004,Steroid-sensitive nephrotic syndrome (disorder),Chronic kidney disease,0
236381000,Steroid-resistant nephrotic syndrome (disorder),Chronic kidney disease,0
236382007,Steroid-dependent nephrotic syndrome (disorder),Chronic kidney disease,0
236384008,Congenital nephrotic syndrome with focal glomerulosclerosis (disorder),Chronic kidney disease,0
236385009,Drash syndrome (disorder),Chronic kidney disease,0
236434000,End stage renal failure untreated by renal replacement therapy (disorder),Chronic kidney disease,0
236435004,End stage renal failure on dialysis (disorder),Chronic kidney disease,0
238314006,Renewal of chronic ambulatory peritoneal dialysis catheter (procedure),Chronic kidney disease,0
238315007,Adjustment of chronic ambulatory peritoneal dialysis catheter (procedure),Chronic kidney disease,0
238316008,Aspiration of chronic ambulatory peritoneal dialysis catheter (procedure),Chronic kidney disease,0
238317004,Flushing of chronic ambulatory peritoneal dialysis catheter (procedure),Chronic kidney disease,0
238318009,Continuous ambulatory peritoneal dialysis (procedure),Chronic kidney disease,0
238319001,Continuous cycling peritoneal dialysis (procedure),Chronic kidney disease,0
238321006,Intermittent peritoneal dialysis (procedure),Chronic kidney disease,0
238323009,Night-time intermittent peritoneal dialysis (procedure),Chronic kidney disease,0
265764009,Renal dialysis (procedure),Chronic kidney disease,0
266549004,Nephrotic syndrome with minimal change glomerulonephritis (disorder),Chronic kidney disease,0
271418008,Chronic ambulatory peritoneal dialysis catheter procedure (procedure),Chronic kidney disease,0
278905001,Continuous ambulatory peritoneal dialysis diet (finding),Chronic kidney disease,0
302497006,Hemodialysis (procedure),Chronic kidney disease,0
363234001,Nephrotic syndrome secondary to systemic disease (disorder),Chronic kidney disease,0
385971003,Dialysis care (regime/therapy),Chronic kidney disease,0
427053002,Extracorporeal albumin hemodialysis (procedure),Chronic kidney disease,0
428648006,Automated peritoneal dialysis (procedure),Chronic kidney disease,0
431857002,Chronic kidney disease stage 4 (disorder),Chronic kidney disease,0
433146000,Chronic kidney disease stage 5 (disorder),Chronic kidney disease,0
708931003,Maintenance hemodialysis (procedure),Chronic kidney disease,0
714749008,Continuous renal replacement therapy (procedure),Chronic kidney disease,0
718330001,Hemodialysis care (regime/therapy),Chronic kidney disease,0
3.24441E+14,Chronic kidney disease stage 4 with proteinuria (disorder),Chronic kidney disease,0
3.24471E+14,Chronic kidney disease stage 4 without proteinuria (disorder),Chronic kidney disease,0
3.24501E+14,Chronic kidney disease stage 5 with proteinuria (disorder),Chronic kidney disease,0
3.24541E+14,Chronic kidney disease stage 5 without proteinuria (disorder),Chronic kidney disease,0
9.50181E+14,Chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A1 (disorder),Chronic kidney disease,0
9.50211E+14,Chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A2 (disorder),Chronic kidney disease,0
9.50231E+14,Chronic kidney disease with glomerular filtration rate category G4 and albuminuria category A3 (disorder),Chronic kidney disease,0
9.50251E+14,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A1 (disorder),Chronic kidney disease,0
9.50291E+14,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A2 (disorder),Chronic kidney disease,0
9.50311E+14,Chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A3 (disorder),Chronic kidney disease,0
1.03547E+15,Dialysis therapy started by renal service (finding),Chronic kidney disease,0
805002,Pneumoconiosis caused by silica (disorder),Chronic respiratory disease,0
4981000,Panacinar emphysema (disorder),Chronic respiratory disease,0
8247009,Berylliosis (disorder),Chronic respiratory disease,0
8549006,Desquamative interstitial pneumonia (disorder),Chronic respiratory disease,0
10501004,Pulmonary alveolar proteinosis (disorder),Chronic respiratory disease,0
10713006,Diffuse interstitial rheumatoid disease of lung (disorder),Chronic respiratory disease,0
12295008,Bronchiectasis (disorder),Chronic respiratory disease,0
12428000,Intrinsic asthma without status asthmaticus (disorder),Chronic respiratory disease,0
13645005,Chronic obstructive lung disease (disorder),Chronic respiratory disease,0
14700006,Bauxite fibrosis of lung (disorder),Chronic respiratory disease,0
16003001,Giant bullous emphysema (disorder),Chronic respiratory disease,0
16838000,Mediastinal emphysema (disorder),Chronic respiratory disease,0
17996008,Pneumoconiosis caused by inorganic dust (disorder),Chronic respiratory disease,0
19242006,Pulmonary edema (disorder),Chronic respiratory disease,0
22607003,Asbestosis (disorder),Chronic respiratory disease,0
23022004,Tuberculous bronchiectasis (disorder),Chronic respiratory disease,0
24369008,Pulmonary sarcoidosis (disorder),Chronic respiratory disease,0
26427008,Chronic pulmonary histoplasmosis (disorder),Chronic respiratory disease,0
29422001,Coal workers' pneumoconiosis (disorder),Chronic respiratory disease,0
31387002,Exercise-induced asthma (disorder),Chronic respiratory disease,0
31898008,Paraseptal emphysema (disorder),Chronic respiratory disease,0
32544004,Chronic obliterative bronchiolitis caused by inhalation of chemical fumes AND/OR vapors (disorder),Chronic respiratory disease,0
34015007,Bakers' asthma (disorder),Chronic respiratory disease,0
39871006,Chronic respiratory failure (disorder),Chronic respiratory disease,0
40100001,Obliterative bronchiolitis (disorder),Chronic respiratory disease,0
40122008,Pneumoconiosis (disorder),Chronic respiratory disease,0
40527005,Idiopathic pulmonary hemosiderosis (disorder),Chronic respiratory disease,0
40640008,Massive fibrosis of lung co-occurrent and due to silicosis (disorder),Chronic respiratory disease,0
41553006,Detergent asthma (disorder),Chronic respiratory disease,0
42402006,Kartagener syndrome (disorder),Chronic respiratory disease,0
44274007,Lymphoid interstitial pneumonia (disorder),Chronic respiratory disease,0
45145000,Unilateral emphysema (situation),Chronic respiratory disease,0
46847001,Chronic pulmonary edema (disorder),Chronic respiratory disease,0
47515009,Simple silicosis (disorder),Chronic respiratory disease,0
49691004,Occupational bronchitis (disorder),Chronic respiratory disease,0
49840000,Complicated silicosis (disorder),Chronic respiratory disease,0
51277007,Stannosis (disorder),Chronic respiratory disease,0
51615001,Fibrosis of lung (disorder),Chronic respiratory disease,0
52571006,Chronic tracheobronchitis (disorder),Chronic respiratory disease,0
56968009,Asthma caused by wood dust (disorder),Chronic respiratory disease,0
57607007,Occupational asthma (disorder),Chronic respiratory disease,0
59903001,Acute obliterating bronchiolitis (disorder),Chronic respiratory disease,0
60125001,Perinatal interstitial emphysema (disorder),Chronic respiratory disease,0
61937009,Simple chronic bronchitis (disorder),Chronic respiratory disease,0
62371005,Pulmonary siderosis (disorder),Chronic respiratory disease,0
63088003,Allergic asthma without status asthmaticus (disorder),Chronic respiratory disease,0
63480004,Chronic bronchitis (disorder),Chronic respiratory disease,0
64667001,Interstitial pneumonia (disorder),Chronic respiratory disease,0
66987001,Congenital lobar emphysema (disorder),Chronic respiratory disease,0
67569000,Bronchopulmonary dysplasia of newborn (disorder),Chronic respiratory disease,0
67905004,Acute-on-chronic respiratory failure (disorder),Chronic respiratory disease,0
68328006,Centriacinar emphysema (disorder),Chronic respiratory disease,0
69454006,Chronic respiratory condition caused by fumes AND/OR vapors (disorder),Chronic respiratory disease,0
69921001,Broncholithiasis (disorder),Chronic respiratory disease,0
71193007,Fibrosis of lung caused by radiation (disorder),Chronic respiratory disease,0
74417001,Mucopurulent chronic bronchitis (disorder),Chronic respiratory disease,0
77593006,Congenital bronchiectasis (disorder),Chronic respiratory disease,0
77690003,Interstitial emphysema of lung (disorder),Chronic respiratory disease,0
78723001,Cannabinosis (disorder),Chronic respiratory disease,0
79955004,Chronic cor pulmonale (disorder),Chronic respiratory disease,0
83457000,Cylindrical bronchiectasis (disorder),Chronic respiratory disease,0
84409004,Fetid chronic bronchitis (disorder),Chronic respiratory disease,0
85761009,Byssinosis (disorder),Chronic respiratory disease,0
86092005,Cystic fibrosis with meconium ileus (disorder),Chronic respiratory disease,0
86555001,Cystic fibrosis of the lung (disorder),Chronic respiratory disease,0
87153008,Pulmonary alveolar microlithiasis (disorder),Chronic respiratory disease,0
87433001,Pulmonary emphysema (disorder),Chronic respiratory disease,0
87837008,Chronic pulmonary heart disease (disorder),Chronic respiratory disease,0
89549007,Catarrhal bronchitis (disorder),Chronic respiratory disease,0
90117007,Tuberculous fibrosis of lung (disorder),Chronic respiratory disease,0
90610005,Interstitial pulmonary fibrosis of prematurity (disorder),Chronic respiratory disease,0
93432008,Drug-induced asthma (disorder),Chronic respiratory disease,0
111901001,Bronchocentric granulomatosis (disorder),Chronic respiratory disease,0
129451001,Respiratory bronchiolitis associated interstitial lung disease (disorder),Chronic respiratory disease,0
129452008,Nonspecific interstitial pneumonia (disorder),Chronic respiratory disease,0
134498003,Budesonide+eformoterol fumarate 200/6mcg bth-act dry pdr inh,Chronic respiratory disease,0
134498003,Budesonide + formoterol fumarate 200/6mcg breath-actuated dry powder inhaler,Chronic respiratory disease,0
134510006,Product containing precisely montelukast (as montelukast sodium) 4 milligram/1 each conventional release chewable tablet (clinical drug),Chronic respiratory disease,0
135836000,End stage chronic obstructive airways disease (disorder),Chronic respiratory disease,0
183478001,Emergency hospital admission for asthma (procedure),Chronic respiratory disease,0
185086009,Chronic obstructive bronchitis (disorder),Chronic respiratory disease,0
187233002,Sarcoidosis of lung with sarcoidosis of lymph nodes (disorder),Chronic respiratory disease,0
190905008,Cystic fibrosis (disorder),Chronic respiratory disease,0
190909002,Cystic fibrosis with intestinal manifestations (disorder),Chronic respiratory disease,0
192658007,Giant cell interstitial pneumonitis (disorder),Chronic respiratory disease,0
195949008,Chronic asthmatic bronchitis (disorder),Chronic respiratory disease,0
195951007,Acute exacerbation of chronic obstructive airways disease (disorder),Chronic respiratory disease,0
195953005,Mixed simple and mucopurulent chronic bronchitis (disorder),Chronic respiratory disease,0
195957006,Chronic bullous emphysema (disorder),Chronic respiratory disease,0
